date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:18	19871/19871	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202017%2013:02:22%20GMT	http://webdesign-finder.com/html/pharma/404.html	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/404.html	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:19	23098/23098	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202017%2013:02:22%20GMT	http://webdesign-finder.com/html/pharma/4042.html	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/4042.html	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:19	26512/26512	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202017%2013:02:24%20GMT	http://webdesign-finder.com/html/pharma/pipeline.html	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/pipeline.html	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:20	23903/23903	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202017%2013:02:24%20GMT	http://webdesign-finder.com/html/pharma/pipeline-single.html	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/pipeline-single.html	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:20	25203/25203	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202017%2013:02:23%20GMT	http://webdesign-finder.com/html/pharma/header1.html	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/header1.html	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:20	24608/24608	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202017%2013:02:23%20GMT	http://webdesign-finder.com/html/pharma/header2.html	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/header2.html	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:21	26919/26919	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202017%2013:02:24%20GMT	http://webdesign-finder.com/html/pharma/header3.html	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/header3.html	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:21	22827/22827	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202017%2013:02:24%20GMT	http://webdesign-finder.com/html/pharma/header4.html	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/header4.html	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:22	23234/23234	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202017%2013:02:24%20GMT	http://webdesign-finder.com/html/pharma/header5.html	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/header5.html	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:22	22130/22130	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202017%2013:02:24%20GMT	http://webdesign-finder.com/html/pharma/header6.html	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/header6.html	(from http://webdesign-finder.com/html/pharma/index.html)
